Name;New_Measure_03-09-2020;
Description;;
Measure-Intervall;00:00:00.0100000;
;;

Time SN:62242 (S30X):P1;SN:62242 (S30X):P1 bar;Time SN:62242 (S30X):TOB1;SN:62242 (S30X):TOB1 °C;
03.09.2020 16:21:41.201;0.7881187;03.09.2020 16:21:41.233;15.3874512;
03.09.2020 16:21:41.265;0.7878531;03.09.2020 16:21:41.297;15.3874512;
03.09.2020 16:21:41.329;0.7877644;03.09.2020 16:21:41.361;15.3874512;
03.09.2020 16:21:41.392;0.7882069;03.09.2020 16:21:41.424;15.3874512;
03.09.2020 16:21:41.456;0.7883841;03.09.2020 16:21:41.488;15.3874512;
03.09.2020 16:21:41.520;0.7882956;03.09.2020 16:21:41.552;15.3874512;
03.09.2020 16:21:41.584;0.7886494;03.09.2020 16:21:41.616;15.3874512;
03.09.2020 16:21:41.648;0.7878531;03.09.2020 16:21:41.679;15.3874512;
03.09.2020 16:21:41.711;0.7882069;03.09.2020 16:21:41.743;15.3874512;
03.09.2020 16:21:41.775;0.7884728;03.09.2020 16:21:41.807;15.3874512;
03.09.2020 16:21:41.839;0.7884728;03.09.2020 16:21:41.871;15.3874512;
03.09.2020 16:21:41.903;0.7881187;03.09.2020 16:21:41.935;15.3874512;
03.09.2020 16:21:41.967;0.7879416;03.09.2020 16:21:41.999;15.3874512;
03.09.2020 16:21:42.030;0.7881187;03.09.2020 16:21:42.062;15.3874512;
03.09.2020 16:21:42.094;0.7881187;03.09.2020 16:21:42.126;15.3874512;
03.09.2020 16:21:42.158;0.7878531;03.09.2020 16:21:42.190;15.3874512;
03.09.2020 16:21:42.245;0.7881187;03.09.2020 16:21:42.270;15.3874512;
03.09.2020 16:21:42.302;0.7880303;03.09.2020 16:21:42.333;15.3874512;
03.09.2020 16:21:42.365;0.7880303;03.09.2020 16:21:42.397;15.3874512;
03.09.2020 16:21:42.429;0.7874106;03.09.2020 16:21:42.461;15.3874512;
03.09.2020 16:21:42.493;0.7881187;03.09.2020 16:21:42.525;15.3874512;
03.09.2020 16:21:42.557;0.7880303;03.09.2020 16:21:42.589;15.3874512;
03.09.2020 16:21:42.621;0.7882956;03.09.2020 16:21:42.652;15.3874512;
03.09.2020 16:21:42.684;0.7881187;03.09.2020 16:21:42.716;15.3874512;
03.09.2020 16:21:42.748;0.7878531;03.09.2020 16:21:42.780;15.3874512;
03.09.2020 16:21:42.812;0.7881187;03.09.2020 16:21:42.844;15.3874512;
03.09.2020 16:21:42.876;0.7887381;03.09.2020 16:21:42.908;15.3874512;
03.09.2020 16:21:42.940;0.7886494;03.09.2020 16:21:42.971;15.3874512;
03.09.2020 16:21:43.003;0.7883841;03.09.2020 16:21:43.035;15.3874512;
03.09.2020 16:21:43.067;0.7881187;03.09.2020 16:21:43.099;15.3874512;
03.09.2020 16:21:43.131;0.7882956;03.09.2020 16:21:43.163;15.3874512;
03.09.2020 16:21:43.195;0.7886494;03.09.2020 16:21:43.227;15.3874512;
03.09.2020 16:21:43.259;0.7885612;03.09.2020 16:21:43.290;15.3874512;
03.09.2020 16:21:43.322;0.7883841;03.09.2020 16:21:43.354;15.3874512;
03.09.2020 16:21:43.386;0.7879416;03.09.2020 16:21:43.418;15.3874512;
03.09.2020 16:21:43.450;0.7879416;03.09.2020 16:21:43.482;15.3874512;
03.09.2020 16:21:43.514;0.7882956;03.09.2020 16:21:43.546;15.3874512;
03.09.2020 16:21:43.578;0.7882956;03.09.2020 16:21:43.609;15.3874512;
03.09.2020 16:21:43.641;0.7887381;03.09.2020 16:21:43.673;15.3874512;
03.09.2020 16:21:43.705;0.7880303;03.09.2020 16:21:43.737;15.3874512;
03.09.2020 16:21:43.769;0.7882069;03.09.2020 16:21:43.801;15.3874512;
03.09.2020 16:21:43.833;0.7883841;03.09.2020 16:21:43.865;15.3874512;
03.09.2020 16:21:43.897;0.7880303;03.09.2020 16:21:43.928;15.3874512;
03.09.2020 16:21:43.960;0.7877644;03.09.2020 16:21:43.992;15.3874512;
03.09.2020 16:21:44.024;0.7878531;03.09.2020 16:21:44.056;15.3874512;
03.09.2020 16:21:44.088;0.7882069;03.09.2020 16:21:44.120;15.3874512;
03.09.2020 16:21:44.152;0.7883841;03.09.2020 16:21:44.184;15.3874512;
03.09.2020 16:21:44.215;0.7881187;03.09.2020 16:21:44.247;15.3874512;
03.09.2020 16:21:44.279;0.7879416;03.09.2020 16:21:44.311;15.3874512;
03.09.2020 16:21:44.343;0.7878531;03.09.2020 16:21:44.375;15.3874512;
03.09.2020 16:21:44.407;0.7879416;03.09.2020 16:21:44.439;15.3874512;
03.09.2020 16:21:44.471;0.7879416;03.09.2020 16:21:44.503;15.3874512;
03.09.2020 16:21:44.534;0.7877644;03.09.2020 16:21:44.566;15.3874512;
03.09.2020 16:21:44.598;0.7875878;03.09.2020 16:21:44.630;15.3874512;
03.09.2020 16:21:44.662;0.7876762;03.09.2020 16:21:44.694;15.3874512;
03.09.2020 16:21:44.726;0.7878531;03.09.2020 16:21:44.758;15.4099121;
03.09.2020 16:21:44.790;0.7878531;03.09.2020 16:21:44.822;15.4099121;
03.09.2020 16:21:44.853;0.7875878;03.09.2020 16:21:44.885;15.4099121;
03.09.2020 16:21:44.917;0.7882956;03.09.2020 16:21:44.949;15.4099121;
