Name;New_Measure_03-09-2020;
Description;;
Measure-Intervall;00:00:00.0100000;
;;

Time SN:62242 (S30X):P1;SN:62242 (S30X):P1 bar;Time SN:62242 (S30X):TOB1;SN:62242 (S30X):TOB1 °C;
03.09.2020 15:35:30.092;0.1710404;03.09.2020 15:35:30.128;12.6882324;
03.09.2020 15:35:30.160;0.1710404;03.09.2020 15:35:30.192;12.6882324;
03.09.2020 15:35:30.224;0.1713952;03.09.2020 15:35:30.256;12.6882324;
03.09.2020 15:35:30.288;0.1713952;03.09.2020 15:35:30.320;12.6882324;
03.09.2020 15:35:30.352;0.1713952;03.09.2020 15:35:30.384;12.6882324;
03.09.2020 15:35:30.416;0.1710404;03.09.2020 15:35:30.447;12.6882324;
03.09.2020 15:35:30.479;0.1715728;03.09.2020 15:35:30.511;12.6882324;
03.09.2020 15:35:30.543;0.1713065;03.09.2020 15:35:30.575;12.6882324;
03.09.2020 15:35:30.607;0.1710404;03.09.2020 15:35:30.639;12.6882324;
03.09.2020 15:35:30.671;0.1713952;03.09.2020 15:35:30.703;12.6882324;
03.09.2020 15:35:30.734;0.1714841;03.09.2020 15:35:30.766;12.6882324;
03.09.2020 15:35:30.798;0.1715728;03.09.2020 15:35:30.830;12.6882324;
03.09.2020 15:35:30.862;0.1717504;03.09.2020 15:35:30.894;12.6882324;
03.09.2020 15:35:30.926;0.1714841;03.09.2020 15:35:30.958;12.6882324;
03.09.2020 15:35:30.990;0.1713065;03.09.2020 15:35:31.022;12.6882324;
03.09.2020 15:35:31.053;0.1717504;03.09.2020 15:35:31.085;12.7004395;
03.09.2020 15:35:31.118;0.1719278;03.09.2020 15:35:31.149;12.7004395;
03.09.2020 15:35:31.181;0.1719278;03.09.2020 15:35:31.213;12.7004395;
03.09.2020 15:35:31.245;0.1717504;03.09.2020 15:35:31.277;12.7004395;
03.09.2020 15:35:31.309;0.1719278;03.09.2020 15:35:31.340;12.7004395;
03.09.2020 15:35:31.372;0.1720165;03.09.2020 15:35:31.404;12.7004395;
03.09.2020 15:35:31.436;0.1720165;03.09.2020 15:35:31.468;12.7004395;
03.09.2020 15:35:31.500;0.1719278;03.09.2020 15:35:31.532;12.7004395;
03.09.2020 15:35:31.564;0.1721052;03.09.2020 15:35:31.596;12.7004395;
03.09.2020 15:35:31.628;0.1720165;03.09.2020 15:35:31.659;12.7004395;
03.09.2020 15:35:31.691;0.1721052;03.09.2020 15:35:31.723;12.7004395;
03.09.2020 15:35:31.755;0.1721939;03.09.2020 15:35:31.787;12.7004395;
03.09.2020 15:35:31.819;0.1720165;03.09.2020 15:35:31.851;12.7004395;
03.09.2020 15:35:31.883;0.1720165;03.09.2020 15:35:31.915;12.7004395;
03.09.2020 15:35:31.946;0.1719278;03.09.2020 15:35:31.978;12.7004395;
03.09.2020 15:35:32.010;0.1714841;03.09.2020 15:35:32.042;12.7004395;
03.09.2020 15:35:32.074;0.1718391;03.09.2020 15:35:32.106;12.7004395;
03.09.2020 15:35:32.138;0.1713952;03.09.2020 15:35:32.170;12.7004395;
03.09.2020 15:35:32.202;0.1713952;03.09.2020 15:35:32.233;12.7004395;
03.09.2020 15:35:32.265;0.1717504;03.09.2020 15:35:32.297;12.7004395;
03.09.2020 15:35:32.329;0.1717504;03.09.2020 15:35:32.361;12.7004395;
03.09.2020 15:35:32.393;0.1713952;03.09.2020 15:35:32.425;12.7004395;
03.09.2020 15:35:32.457;0.1716617;03.09.2020 15:35:32.489;12.7004395;
03.09.2020 15:35:32.521;0.1713952;03.09.2020 15:35:32.552;12.7004395;
03.09.2020 15:35:32.584;0.1716617;03.09.2020 15:35:32.616;12.7004395;
03.09.2020 15:35:32.648;0.1718391;03.09.2020 15:35:32.680;12.7004395;
03.09.2020 15:35:32.712;0.1715728;03.09.2020 15:35:32.744;12.7004395;
03.09.2020 15:35:32.776;0.1717504;03.09.2020 15:35:32.808;12.7004395;
03.09.2020 15:35:32.840;0.1719278;03.09.2020 15:35:32.871;12.7004395;
03.09.2020 15:35:32.903;0.1719278;03.09.2020 15:35:32.935;12.7004395;
03.09.2020 15:35:32.967;0.1716617;03.09.2020 15:35:32.999;12.7004395;
03.09.2020 15:35:33.031;0.1719278;03.09.2020 15:35:33.063;12.7004395;
03.09.2020 15:35:33.095;0.1720165;03.09.2020 15:35:33.127;12.7004395;
03.09.2020 15:35:33.158;0.1714841;03.09.2020 15:35:33.190;12.7004395;
03.09.2020 15:35:33.222;0.1713952;03.09.2020 15:35:33.254;12.7004395;
03.09.2020 15:35:33.286;0.1712178;03.09.2020 15:35:33.318;12.7004395;
03.09.2020 15:35:33.350;0.1714841;03.09.2020 15:35:33.382;12.7004395;
03.09.2020 15:35:33.414;0.1715728;03.09.2020 15:35:33.446;12.7004395;
03.09.2020 15:35:33.477;0.1717504;03.09.2020 15:35:33.509;12.7004395;
03.09.2020 15:35:33.541;0.1720165;03.09.2020 15:35:33.573;12.7004395;
03.09.2020 15:35:33.605;0.1714841;03.09.2020 15:35:33.637;12.7004395;
03.09.2020 15:35:33.669;0.1715728;03.09.2020 15:35:33.701;12.7004395;
03.09.2020 15:35:33.733;0.1716617;03.09.2020 15:35:33.765;12.7004395;
03.09.2020 15:35:33.796;0.1715728;03.09.2020 15:35:33.828;12.7004395;
03.09.2020 15:35:33.860;0.1713065;03.09.2020 15:35:33.892;12.7004395;
03.09.2020 15:35:33.924;0.1713952;03.09.2020 15:35:33.956;12.7004395;
03.09.2020 15:35:33.988;0.1713065;03.09.2020 15:35:34.020;12.7004395;
03.09.2020 15:35:34.052;0.1716617;03.09.2020 15:35:34.083;12.7004395;
03.09.2020 15:35:34.115;0.1713952;03.09.2020 15:35:34.147;12.7004395;
03.09.2020 15:35:34.179;0.1714841;03.09.2020 15:35:34.211;12.7004395;
03.09.2020 15:35:34.243;0.1714841;03.09.2020 15:35:34.275;12.7004395;
03.09.2020 15:35:34.307;0.1717504;03.09.2020 15:35:34.339;12.7004395;
03.09.2020 15:35:34.371;0.1717504;03.09.2020 15:35:34.402;12.7004395;
03.09.2020 15:35:34.434;0.1717504;03.09.2020 15:35:34.466;12.7004395;
03.09.2020 15:35:34.498;0.1718391;03.09.2020 15:35:34.530;12.7004395;
03.09.2020 15:35:34.562;0.1715728;03.09.2020 15:35:34.594;12.7004395;
03.09.2020 15:35:34.626;0.1720165;03.09.2020 15:35:34.658;12.7004395;
03.09.2020 15:35:34.689;0.1719278;03.09.2020 15:35:34.721;12.7004395;
03.09.2020 15:35:34.753;0.1719278;03.09.2020 15:35:34.785;12.7004395;
03.09.2020 15:35:34.817;0.1717504;03.09.2020 15:35:34.849;12.7004395;
03.09.2020 15:35:34.881;0.1716617;03.09.2020 15:35:34.913;12.7004395;
03.09.2020 15:35:34.945;0.1717504;03.09.2020 15:35:34.977;12.7004395;
03.09.2020 15:35:35.008;0.1715728;03.09.2020 15:35:35.040;12.7004395;
03.09.2020 15:35:35.072;0.1718391;03.09.2020 15:35:35.104;12.7004395;
03.09.2020 15:35:35.136;0.1719278;03.09.2020 15:35:35.168;12.7004395;
03.09.2020 15:35:35.200;0.1721052;03.09.2020 15:35:35.232;12.7004395;
03.09.2020 15:35:35.264;0.1719278;03.09.2020 15:35:35.295;12.7004395;
03.09.2020 15:35:35.327;0.1717504;03.09.2020 15:35:35.359;12.7004395;
03.09.2020 15:35:35.391;0.1716617;03.09.2020 15:35:35.423;12.7004395;
03.09.2020 15:35:35.455;0.1718391;03.09.2020 15:35:35.487;12.7004395;
03.09.2020 15:35:35.519;0.1719278;03.09.2020 15:35:35.551;12.7004395;
03.09.2020 15:35:35.583;0.1721939;03.09.2020 15:35:35.614;12.7004395;
03.09.2020 15:35:35.646;0.1722826;03.09.2020 15:35:35.678;12.7004395;
03.09.2020 15:35:35.710;0.1721052;03.09.2020 15:35:35.742;12.7004395;
03.09.2020 15:35:35.774;0.1721052;03.09.2020 15:35:35.806;12.7004395;
03.09.2020 15:35:35.838;0.1721939;03.09.2020 15:35:35.870;12.7004395;
03.09.2020 15:35:35.901;0.1721939;03.09.2020 15:35:35.933;12.7004395;
03.09.2020 15:35:35.965;0.1720165;03.09.2020 15:35:35.997;12.7004395;
03.09.2020 15:35:36.029;0.1718391;03.09.2020 15:35:36.061;12.7331543;
03.09.2020 15:35:36.093;0.1722122;03.09.2020 15:35:36.125;12.7331543;
03.09.2020 15:35:36.157;0.1721233;03.09.2020 15:35:36.189;12.7331543;
03.09.2020 15:35:36.220;0.1717685;03.09.2020 15:35:36.252;12.7331543;
03.09.2020 15:35:36.284;0.1715025;03.09.2020 15:35:36.316;12.7331543;
03.09.2020 15:35:36.348;0.1717685;03.09.2020 15:35:36.380;12.7331543;
03.09.2020 15:35:36.412;0.1717685;03.09.2020 15:35:36.444;12.7331543;
03.09.2020 15:35:36.476;0.1722122;03.09.2020 15:35:36.507;12.7331543;
03.09.2020 15:35:36.539;0.1720346;03.09.2020 15:35:36.571;12.7331543;
03.09.2020 15:35:36.603;0.1721233;03.09.2020 15:35:36.635;12.7331543;
03.09.2020 15:35:36.667;0.1717685;03.09.2020 15:35:36.699;12.7331543;
03.09.2020 15:35:36.731;0.1715912;03.09.2020 15:35:36.763;12.7331543;
03.09.2020 15:35:36.795;0.1718572;03.09.2020 15:35:36.826;12.7331543;
03.09.2020 15:35:36.858;0.1716799;03.09.2020 15:35:36.890;12.7331543;
03.09.2020 15:35:36.922;0.1713248;03.09.2020 15:35:36.954;12.7331543;
03.09.2020 15:35:36.986;0.1715025;03.09.2020 15:35:37.018;12.7331543;
03.09.2020 15:35:37.050;0.1719459;03.09.2020 15:35:37.082;12.7331543;
03.09.2020 15:35:37.113;0.1720346;03.09.2020 15:35:37.145;12.7331543;
03.09.2020 15:35:37.177;0.1720346;03.09.2020 15:35:37.209;12.7331543;
03.09.2020 15:35:37.241;0.1721233;03.09.2020 15:35:37.273;12.7331543;
03.09.2020 15:35:37.305;0.1720346;03.09.2020 15:35:37.337;12.7331543;
